,name,date,file_name,status,original_url,final_url,encoding
48,republik,2025-01-14,data-lake/2025-01-14-republik.html,200,https://www.republik.ch/,https://www.republik.ch/,utf-8
49,ta,2025-01-14,data-lake/2025-01-14-ta.html,200,https://www.tagesanzeiger.ch/,https://www.tagesanzeiger.ch/,utf-8
50,watson-ch,2025-01-14,data-lake/2025-01-14-watson-ch.html,200,https://www.watson.ch/,https://www.watson.ch/,utf-8
51,nau,2025-01-14,data-lake/2025-01-14-nau.html,200,https://www.nau.ch/,https://www.nau.ch/,utf-8
52,standard,2025-01-14,data-lake/2025-01-14-standard.html,200,https://www.derstandard.at/,https://www.derstandard.at/consent/tcf/,utf-8
53,kronen,2025-01-14,data-lake/2025-01-14-kronen.html,200,https://www.krone.at/,https://www.krone.at/,ISO-8859-1
54,kurier,2025-01-14,data-lake/2025-01-14-kurier.html,200,https://kurier.at/,https://kurier.at/,UTF-8
55,kleine,2025-01-14,data-lake/2025-01-14-kleine.html,200,https://www.kleinezeitung.at/,https://www.kleinezeitung.at/,UTF-8
56,watson-de,2025-01-14,data-lake/2025-01-14-watson-de.html,200,https://www.watson.de/,https://www.watson.de/,utf-8
57,vice-de,2025-01-14,data-lake/2025-01-14-vice-de.html,200,https://www.vice.com/de,https://www.vice.com/de/,UTF-8
