,name,date,file_name,status,original_url,final_url,encoding
0,sz,2023-07-14,data-lake/2023-07-14-sz.html,200,https://www.sueddeutsche.de/,https://www.sueddeutsche.de/,utf-8
1,zeit,2023-07-14,data-lake/2023-07-14-zeit.html,200,https://www.zeit.de/,https://www.zeit.de/index,UTF-8
2,faz,2023-07-14,data-lake/2023-07-14-faz.html,200,https://www.faz.net/,https://www.faz.net/aktuell/,utf-8
3,heise,2023-07-14,data-lake/2023-07-14-heise.html,200,https://www.heise.de/,https://www.heise.de/,UTF-8
4,golem,2023-07-14,data-lake/2023-07-14-golem.html,200,https://www.golem.de/,https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2F,UTF-8
5,tagesspiegel,2023-07-14,data-lake/2023-07-14-tagesspiegel.html,200,https://www.tagesspiegel.de/,https://www.tagesspiegel.de/,utf-8
6,taz,2023-07-14,data-lake/2023-07-14-taz.html,200,https://taz.de/,https://taz.de/,utf-8
7,abendblatt,2023-07-14,data-lake/2023-07-14-abendblatt.html,200,https://www.abendblatt.de/,https://www.abendblatt.de/,UTF-8
8,berliner,2023-07-14,data-lake/2023-07-14-berliner.html,200,https://www.berliner-zeitung.de/,https://www.berliner-zeitung.de/,utf-8
9,welt,2023-07-14,data-lake/2023-07-14-welt.html,200,https://www.welt.de/,https://www.welt.de/,utf-8
10,medium,2023-07-14,data-lake/2023-07-14-medium.html,200,https://medium.com/,https://medium.com/,utf-8
11,esslinger,2023-07-14,data-lake/2023-07-14-esslinger.html,200,https://www.esslinger-zeitung.de/,https://www.esslinger-zeitung.de/,UTF-8
12,kdnuggets,2023-07-14,data-lake/2023-07-14-kdnuggets.html,200,https://www.kdnuggets.com/,https://www.kdnuggets.com/,UTF-8
13,handelsblatt,2023-07-14,data-lake/2023-07-14-handelsblatt.html,200,https://www.handelsblatt.com/,https://www.handelsblatt.com/,utf-8
14,ntv,2023-07-14,data-lake/2023-07-14-ntv.html,200,https://www.n-tv.de/,https://www.n-tv.de/,UTF-8
15,pioneer,2023-07-14,data-lake/2023-07-14-pioneer.html,200,https://www.thepioneer.de/,https://www.thepioneer.de/,utf-8
16,suedwest,2023-07-14,data-lake/2023-07-14-suedwest.html,200,https://www.swp.de/,https://www.swp.de/,UTF-8
17,t3n,2023-07-14,data-lake/2023-07-14-t3n.html,200,https://t3n.de/,https://t3n.de/,UTF-8
18,economist,2023-07-14,data-lake/2023-07-14-economist.html,200,https://www.economist.com/,https://www.economist.com/,utf-8
19,srf,2023-07-14,data-lake/2023-07-14-srf.html,200,https://www.srf.ch/,https://www.srf.ch/,UTF-8
20,wef,2023-07-14,data-lake/2023-07-14-wef.html,200,https://www.weforum.org/,https://www.weforum.org/,utf-8
21,kindly,2023-07-14,data-lake/2023-07-14-kindly.html,200,https://www.livekindly.co/,https://www.livekindly.com/,UTF-8
22,stuttgarter,2023-07-14,data-lake/2023-07-14-stuttgarter.html,200,https://www.stuttgarter-nachrichten.de/,https://www.stuttgarter-nachrichten.de/,UTF-8
23,atlantic,2023-07-14,data-lake/2023-07-14-atlantic.html,200,https://www.theatlantic.com/,https://www.theatlantic.com/world/,utf-8
24,netzpolitik,2023-07-14,data-lake/2023-07-14-netzpolitik.html,200,https://netzpolitik.org/,https://netzpolitik.org/,UTF-8
25,towardsds,2023-07-14,data-lake/2023-07-14-towardsds.html,200,https://towardsdatascience.com/,https://towardsdatascience.com/?gi=d35cc91b422b,utf-8
26,uebermedien,2023-07-14,data-lake/2023-07-14-uebermedien.html,200,https://uebermedien.de/,https://uebermedien.de/,UTF-8
27,vulture,2023-07-14,data-lake/2023-07-14-vulture.html,200,https://www.vulture.com/,https://www.vulture.com/,utf-8
28,boerse,2023-07-14,data-lake/2023-07-14-boerse.html,200,https://www.boersenblatt.net/,https://www.boersenblatt.net/,UTF-8
29,buchreport,2023-07-14,data-lake/2023-07-14-buchreport.html,200,https://www.buchreport.de/,https://www.buchreport.de/,UTF-8
30,54books,2023-07-14,data-lake/2023-07-14-54books.html,200,https://www.54books.de/,https://www.54books.de/,ISO-8859-1
31,dlf,2023-07-14,data-lake/2023-07-14-dlf.html,200,https://www.deutschlandfunk.de/,https://www.deutschlandfunk.de/,UTF-8
32,dw-de,2023-07-14,data-lake/2023-07-14-dw-de.html,200,https://www.dw.com/de/,https://www.dw.com/de/themen/s-9077,utf-8
33,spiegel,2023-07-14,data-lake/2023-07-14-spiegel.html,200,https://www.spiegel.de/,https://www.spiegel.de/,utf-8
34,cnn,2023-07-14,data-lake/2023-07-14-cnn.html,200,https://edition.cnn.com/,https://edition.cnn.com/,utf-8
35,bbc,2023-07-14,data-lake/2023-07-14-bbc.html,200,https://www.bbc.com/,https://www.bbc.com/,UTF-8
36,dhv,2023-07-14,data-lake/2023-07-14-dhv.html,200,https://www.dhv.de/,https://www.dhv.de/2/,utf-8
37,mm,2023-07-14,data-lake/2023-07-14-mm.html,200,https://www.manager-magazin.de/,https://www.manager-magazin.de/,utf-8
38,stern,2023-07-14,data-lake/2023-07-14-stern.html,200,https://www.stern.de/,https://www.stern.de/,utf-8
39,tagesschau,2023-07-14,data-lake/2023-07-14-tagesschau.html,200,https://www.tagesschau.de/,https://www.tagesschau.de/,UTF-8
40,zvw,2023-07-14,data-lake/2023-07-14-zvw.html,200,https://www.zvw.de/,https://www.zvw.de/,utf-8
41,ieee,2023-07-14,data-lake/2023-07-14-ieee.html,200,https://www.ieee.org/,https://www.ieee.org/,utf-8
42,anwaltsverein,2023-07-14,data-lake/2023-07-14-anwaltsverein.html,200,https://anwaltverein.de/,https://anwaltverein.de/de/,utf-8
43,wiwo,2023-07-14,data-lake/2023-07-14-wiwo.html,200,https://www.wiwo.de/,https://www.wiwo.de/,utf-8
44,dw-en,2023-07-14,data-lake/2023-07-14-dw-en.html,200,https://www.dw.com/,https://www.dw.com/,utf-8
45,dav,2023-07-14,data-lake/2023-07-14-dav.html,200,https://www.alpenverein.de/,https://www.alpenverein.de/,UTF-8
46,zwanzig,2023-07-14,data-lake/2023-07-14-zwanzig.html,200,https://www.20min.ch/,https://www.20min.ch/,utf-8
47,blick,2023-07-14,data-lake/2023-07-14-blick.html,200,https://www.blick.ch/,https://www.blick.ch/,utf-8
48,nzz,2023-07-14,data-lake/2023-07-14-nzz.html,200,https://www.nzz.ch/,https://www.nzz.ch/deutschland,utf-8
49,republik,2023-07-14,data-lake/2023-07-14-republik.html,200,https://www.republik.ch/,https://www.republik.ch/,utf-8
50,ta,2023-07-14,data-lake/2023-07-14-ta.html,200,https://www.tagesanzeiger.ch/,https://www.tagesanzeiger.ch/,utf-8
51,watson-ch,2023-07-14,data-lake/2023-07-14-watson-ch.html,200,https://www.watson.ch/,https://www.watson.ch/,UTF-8
52,nau,2023-07-14,data-lake/2023-07-14-nau.html,200,https://www.nau.ch/,https://www.nau.ch/,UTF-8
53,standard,2023-07-14,data-lake/2023-07-14-standard.html,200,https://www.derstandard.at/,https://www.derstandard.at/consent/tcf/,utf-8
54,kronen,2023-07-14,data-lake/2023-07-14-kronen.html,200,https://www.krone.at/,https://www.krone.at/,ISO-8859-1
55,kurier,2023-07-14,data-lake/2023-07-14-kurier.html,200,https://kurier.at/,https://kurier.at/,utf-8
56,kleine,2023-07-14,data-lake/2023-07-14-kleine.html,200,https://www.kleinezeitung.at/,https://www.kleinezeitung.at/,UTF-8
57,watson-de,2023-07-14,data-lake/2023-07-14-watson-de.html,200,https://www.watson.de/,https://www.watson.de/,UTF-8
58,vice-de,2023-07-14,data-lake/2023-07-14-vice-de.html,200,https://www.vice.com/de,https://www.vice.com/de,utf-8
